EST,Muni_Clean,Riesgo_Espacial
MONAGAS,BOLIVAR,1.0838416433213836
FALCON,FEDERACION,1.0829985016255665
PORTUGUESA,TUREN,1.0813720788228944
TACHIRA,ANDRES BELLO,1.0802476134409091
ARAGUA,SAN SEBASTIAN,1.0772548823985568
CARABOBO,LAGO VALENCIA,1.0763554934884185
SUCRE,ARISMENDI,1.0752288497131237
TRUJILLO,PAMPAN,1.0747794979415406
MONAGAS,ACOSTA,1.0736273399517555
MERIDA,RIVAS DAVILA,1.0576299346322677
NUEVA ESPARTA,ISLA COCHE,1.0558556582244905
TACHIRA,LOBATERA,1.0531444776096708
MERIDA,ANDRES BELLO,1.0512485035863948
CARABOBO,CARLOS AREVALO,1.045112603935514
FALCON,MONSENOR ITURRIZA,1.0405555687935575
ANZOATEGUI,ISLA,1.0383757045462698
ZULIA,JESUS ENRIQUE LOSSADA,1.0376388889145607
ANZOATEGUI,PIRITU,1.0368215343255778
MIRANDA,PLAZA,1.036673600007924
ANZOATEGUI,ARAGUA,1.0365770175980518
ANZOATEGUI,CARVAJAL,1.0361559434848129
MONAGAS,CARIPE,1.035684506746252
CARABOBO,GUACARA,1.031908707889672
APURE,ACHAGUAS,1.0252993403479185
SUCRE,LIBERTADOR,1.0227241060119494
BARINAS,ALBERTO ARVELO TORREALBA,1.0227240380979508
MIRANDA,SIMON BOLIVAR,1.0225368807507427
TACHIRA,SAMUEL DARIO MALDONADO,1.0162826163271423
MIRANDA,URDANETA,1.0162777167051669
SUCRE,RIBERO,1.0145766981487998
ZULIA,LA CANADA URDANETA,1.0125236850457056
CARABOBO,LIBERTADOR,1.0035473847515255
FALCON,MAUROA,1.0026606366381756
FALCON,TOCOPERO,0.997919852375061
YARACUY,BRUZUAL,0.9948875877791004
TACHIRA,SEBORUCO,0.9945162445301015
COJEDES,TINACO,0.9937272479630527
FALCON,SAN FRANCISCO,0.9909361139125802
TRUJILLO,CANDELARIA,0.985644550020919
BOLIVAR,CEDENO,0.9845845667585863
ZULIA,BARALT,0.9820630940178393
ARAGUA,TOVAR,0.9741270681265176
BARINAS,ANTONIO JOSE SUCRE,0.972054032845014
MIRANDA,PEDRO GUAL,0.9708941516759096
LARA,JIMENEZ,0.9665657916488418
MONAGAS,SOTILLO,0.9634148068830933
TACHIRA,ANTONIO ROMULO COSTA,0.9633909698338007
MERIDA,TULIO FEBRES CORDERO,0.9620770270313795
PORTUGUESA,PAEZ,0.9602092656909511
CARABOBO,MIRANDA,0.9599569318596163
TRUJILLO,RAFAEL RANGEL,0.9518318577178434
MIRANDA,LOS SALIAS,0.9500849508241056
BARINAS,BOLIVAR,0.9496850103881236
BOLIVAR,SIFONTES,0.9486192039716251
CARABOBO,JUAN JOSE MORA,0.9472302466442971
ARAGUA,MARIO BRICENO IRAGORRY,0.9468537426633782
MIRANDA,BUROZ,0.9346124221665683
FALCON,PIRITU,0.9338197128905019
ARAGUA,URDANETA,0.9317821826152511
TACHIRA,CORDOBA,0.9314486972692282
APURE,PAEZ,0.9297628783251318
BARINAS,CRUZ PAREDES,0.9257412111087071
GUARICO,EL SOCORRO,0.9247077646608253
GUARICO,LAS MERCEDES,0.9228947789915106
ANZOATEGUI,BRUZUAL,0.9214029267918276
ZULIA,ALMIRANTE PADILLA,0.9188996852552117
ZULIA,SAN FRANCISCO,0.9175791906303076
GUARICO,CHAGUARAMAS,0.9171983341970629
PORTUGUESA,AGUA BLANCA,0.9166324428258921
FALCON,SUCRE,0.9162537004547006
COJEDES,GIRARDOT,0.9155059566457854
ZULIA,MIRANDA,0.9132947607349405
LARA,CRESPO,0.9089646018621945
PORTUGUESA,ESTELLER,0.905816623441288
MERIDA,CAMPO ELIAS,0.9042473345705551
ANZOATEGUI,LIBERTAD,0.9008795372874556
ANZOATEGUI,INDEPENDENCIA,0.8980184330660118
ANZOATEGUI,ANACO,0.8968597553718968
FALCON,DABAJURO,0.8955966727675682
YARACUY,BOLIVAR,0.8952728684331254
LARA,ANDRES ELOY BLANCO,0.8916804607325146
LARA,URDANETA,0.8911347938086237
YARACUY,PENA,0.8903849321866221
MERIDA,SANTOS MARQUINA,0.8888901411770362
ZULIA,JESUS MARIA SEMPRUN,0.8888834149950171
MIRANDA,EL HATILLO,0.886335208726349
GUARICO,JOSE FELIX RIBAS,0.8836647304345538
ARAGUA,JOSE ANGEL LAMAS,0.8836450604267925
MONAGAS,PUNCERES,0.879970336284289
ANZOATEGUI,SOTILLO,0.8791962474761597
ARAGUA,JOSE R REVENGA,0.8783079997435611
BARINAS,PEDRAZA,0.8692135934074785
SUCRE,ANDRES MATA,0.8619247576465191
TACHIRA,INDEPENDENCIA,0.8598950840293497
NUEVA ESPARTA,MANEIRO,0.8541098974814917
ZULIA,VALMORE RODRIGUEZ,0.8528408370855216
ANZOATEGUI,MIRANDA,0.8514363774722943
YARACUY,URACHICHE,0.8502692013359762
ZULIA,SANTA RITA,0.8482906052303244
ANZOATEGUI,SANTA ANA,0.8457126324009558
ZULIA,CATATUMBO,0.8425482584968713
MIRANDA,PAZ CASTILLO,0.8422603648940314
MONAGAS,EZEQUIEL ZAMORA,0.8396139323544553
