GID_2,GID_0,COUNTRY,GID_1,EST,NL_NAME_1,Muni_GADM,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,Muni_Clean,ID_Area,Riesgo_Espacial
VEN.3.7_1,VEN,Venezuela,VEN.3_1,APURE,NA,San Fernando,NA,NA,Municipio,Municipality,NA,NA,SAN FERNANDO,36,2.0708888123657188
VEN.4.1_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Bolívar,NA,NA,Municipio,Municipality,NA,NA,BOLIVAR,37,1.4032030630546874
VEN.4.2_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Camatagua,NA,NA,Municipio,Municipality,NA,NA,CAMATAGUA,38,1.3120383922061982
VEN.4.3_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Francisco Linares,NA,NA,Municipio,Municipality,NA,NA,FRANCISCO LINARES,39,0.5919028843695624
VEN.4.4_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Girardot,NA,NA,Municipio,Municipality,NA,NA,GIRARDOT,40,3.266768854723955
VEN.4.5_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,José Angel Lamas,NA,NA,Municipio,Municipality,NA,NA,JOSE ANGEL LAMAS,41,0.8836450604267925
VEN.4.6_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,José Félix Ribas,NA,NA,Municipio,Municipality,NA,NA,JOSE FELIX RIBAS,42,2.055486513877011
VEN.4.7_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,José R Revenga,NA,NA,Municipio,Municipality,NA,NA,JOSE R REVENGA,43,0.8783079997435611
VEN.4.8_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Libertador,NA,NA,Municipio,Municipality,NA,NA,LIBERTADOR,44,1.3680715816831988
VEN.4.9_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Mario Briceño Iragorry,NA,NA,Municipio,Municipality,NA,NA,MARIO BRICENO IRAGORRY,45,0.9468537426633782
VEN.4.10_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Ocumare de la Costa de Oro,NA,NA,Municipio,Municipality,NA,NA,OCUMARE LA COSTA ORO,46,0.48658171273433154
VEN.4.11_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,San Casimiro,NA,NA,Municipio,Municipality,NA,NA,SAN CASIMIRO,47,1.2568588384331907
VEN.4.12_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,San Sebastián,NA,NA,Municipio,Municipality,NA,NA,SAN SEBASTIAN,48,1.0772548823985568
VEN.4.13_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Santiago Mariño,NA,NA,Municipio,Municipality,NA,NA,SANTIAGO MARINO,49,0.7817883691270682
VEN.4.14_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Santos Michelena,NA,NA,Municipio,Municipality,NA,NA,SANTOS MICHELENA,50,1.1034819218375171
VEN.4.15_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Sucre,NA,NA,Municipio,Municipality,NA,NA,SUCRE,51,1.2500219214807995
VEN.4.16_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Tovar,NA,NA,Municipio,Municipality,NA,NA,TOVAR,52,0.9741270681265176
VEN.4.17_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Urdaneta,NA,NA,Municipio,Municipality,NA,NA,URDANETA,53,0.9317821826152511
VEN.4.18_1,VEN,Venezuela,VEN.4_1,ARAGUA,NA,Zamora,NA,NA,Municipio,Municipality,NA,NA,ZAMORA,54,1.2510943671265953
VEN.5.1_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Alberto Arvelo Torrealba,NA,NA,Municipio,Municipality,NA,NA,ALBERTO ARVELO TORREALBA,55,1.0227240380979508
VEN.5.2_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Andres Eloy Blanco,NA,NA,Municipio,Municipality,NA,NA,ANDRES ELOY BLANCO,56,0.358271515077713
VEN.5.3_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Antonio José de Sucre,NA,NA,Municipio,Municipality,NA,NA,ANTONIO JOSE SUCRE,57,0.972054032845014
VEN.5.4_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Arismendi,NA,NA,Municipio,Municipality,NA,NA,ARISMENDI,58,0.5205938289272811
VEN.5.5_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Barinas,NA,NA,Municipio,Municipality,NA,NA,BARINAS,59,1.812043686110083
VEN.5.6_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Bolívar,NA,NA,Municipio,Municipality,NA,NA,BOLIVAR,60,0.9496850103881236
VEN.5.7_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Cruz Paredes,NA,NA,Municipio,Municipality,NA,NA,CRUZ PAREDES,61,0.9257412111087071
VEN.5.8_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Ezequiel Zamora,NA,NA,Municipio,Municipality,NA,NA,EZEQUIEL ZAMORA,62,1.3118027711161304
VEN.5.9_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Obispos,NA,NA,Municipio,Municipality,NA,NA,OBISPOS,63,0.6678005200470966
VEN.5.10_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Pedraza,NA,NA,Municipio,Municipality,NA,NA,PEDRAZA,64,0.8692135934074785
VEN.5.11_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Rojas,NA,NA,Municipio,Municipality,NA,NA,ROJAS,65,0.7865173949078664
VEN.5.12_1,VEN,Venezuela,VEN.5_1,BARINAS,NA,Sosa,NA,NA,Municipio,Municipality,NA,NA,SOSA,66,0.517522129948355
VEN.6.1_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Angostura,NA,NA,Municipio,Municipality,NA,NA,ANGOSTURA,67,0.4260755133365587
VEN.6.2_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Caroní,NA,NA,Municipio,Municipality,NA,NA,CARONI,68,1.6820459413878805
VEN.6.3_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Cedeño,NA,NA,Municipio,Municipality,NA,NA,CEDENO,69,0.9845845667585863
VEN.6.4_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,El Callao,NA,NA,Municipio,Municipality,NA,NA,EL CALLAO,70,1.1779348487514723
VEN.6.5_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Gran Sabana,NA,NA,Municipio,Municipality,NA,NA,GRAN SABANA,71,0.7793813355823845
VEN.6.6_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Heres,NA,NA,Municipio,Municipality,NA,NA,HERES,72,2.066824572309389
VEN.6.7_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Padre Pedro Chien,NA,NA,Municipio,Municipality,NA,NA,PADRE PEDRO CHIEN,73,0.6413676787426315
VEN.6.8_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Piar,NA,NA,Municipio,Municipality,NA,NA,PIAR,74,1.3329208152345278
VEN.6.9_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Roscio,NA,NA,Municipio,Municipality,NA,NA,ROSCIO,75,1.1176411065846807
VEN.6.10_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Sifontes,NA,NA,Municipio,Municipality,NA,NA,SIFONTES,76,0.9486192039716251
VEN.6.11_1,VEN,Venezuela,VEN.6_1,BOLIVAR,NA,Sucre,NA,NA,Municipio,Municipality,NA,NA,SUCRE,77,0.26599351807002164
VEN.7.1_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Bejuma,NA,NA,Municipio,Municipality,NA,NA,BEJUMA,78,1.938634644138154
VEN.7.2_1,VEN,Venezuela,VEN.7_1,CARABOBO,NA,Carlos Arevalo,NA,NA,Municipio,Municipality,NA,NA,CARLOS AREVALO,79,1.045112603935514
