ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
,AM-Municipio Autónomo Maroa,AM,AMAZONAS,Municipio Autónomo Maroa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AM-Municipio Autónomo Río Negro,AM,AMAZONAS,Municipio Autónomo Río Negro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Anaco,AN,ANZOATEGUI,Municipio Anaco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Aragua,AN,ANZOATEGUI,Municipio Aragua,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Diego Bautista Urbaneja,AN,ANZOATEGUI,Municipio Diego Bautista Urbaneja,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Fernando Peñalver,AN,ANZOATEGUI,Municipio Fernando Peñalver,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Francisco de Miranda,AN,ANZOATEGUI,Municipio Francisco de Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Francisco del Carmen Carvajal,AN,ANZOATEGUI,Municipio Francisco del Carmen Carvajal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Guanta,AN,ANZOATEGUI,Municipio Guanta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Independencia,AN,ANZOATEGUI,Municipio Independencia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio José Gregorio Monagas,AN,ANZOATEGUI,Municipio José Gregorio Monagas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Juan Antonio Sotillo,AN,ANZOATEGUI,Municipio Juan Antonio Sotillo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Juan Manuel Cajigal,AN,ANZOATEGUI,Municipio Juan Manuel Cajigal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Libertad,AN,ANZOATEGUI,Municipio Libertad,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Manuel Ezequiel Bruzual,AN,ANZOATEGUI,Municipio Manuel Ezequiel Bruzual,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Pedro María Freites,AN,ANZOATEGUI,Municipio Pedro María Freites,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Píritu,AN,ANZOATEGUI,Municipio Píritu,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio San José de Guanipa,AN,ANZOATEGUI,Municipio San José de Guanipa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio San Juan de Capistrano,AN,ANZOATEGUI,Municipio San Juan de Capistrano,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Santa Ana,AN,ANZOATEGUI,Municipio Santa Ana,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Simón Bolívar,AN,ANZOATEGUI,Municipio Simón Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Simón Rodríguez,AN,ANZOATEGUI,Municipio Simón Rodríguez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AN-Municipio Sir Artur Mc. Gregor,AN,ANZOATEGUI,Municipio Sir Artur Mc. Gregor,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Achaguas,AP,APURE,Municipio Achaguas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Biruaca,AP,APURE,Municipio Biruaca,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Muños,AP,APURE,Municipio Muños,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Páez,AP,APURE,Municipio Páez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Pedro Camejo,AP,APURE,Municipio Pedro Camejo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio Rómulo Gallegos,AP,APURE,Municipio Rómulo Gallegos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AP-Municipio San Fernando,AP,APURE,Municipio San Fernando,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Bolívar,AR,ARAGUA,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Camatagua,AR,ARAGUA,Municipio Camatagua,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Francisco Linares Alcántara,AR,ARAGUA,Municipio Francisco Linares Alcántara,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Girardot,AR,ARAGUA,Municipio Girardot,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio José Ángel Lamas,AR,ARAGUA,Municipio José Ángel Lamas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio José Félix Rivas,AR,ARAGUA,Municipio José Félix Rivas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio José Rafael Revenga,AR,ARAGUA,Municipio José Rafael Revenga,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Libertador,AR,ARAGUA,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Mario Briceño Iragorry,AR,ARAGUA,Municipio Mario Briceño Iragorry,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Ocumare de la Costa,AR,ARAGUA,Municipio Ocumare de la Costa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio San Casimiro,AR,ARAGUA,Municipio San Casimiro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio San Sebastián,AR,ARAGUA,Municipio San Sebastián,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AR-Municipio Santiago Mariño,AR,ARAGUA,Municipio Santiago Mariño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
