ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
2014,ME-Municipio Zea,ME,MERIDA,Municipio Zea, 47 , 26 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Acevedo,MI,MIRANDA,Municipio Acevedo, 493 , 358 , 135 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Andrés Bello,MI,MIRANDA,Municipio Andrés Bello, 117 , 80 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Baruta,MI,MIRANDA,Municipio Baruta," 2,591 "," 1,262 "," 1,329 ",,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Brion,MI,MIRANDA,Municipio Brion, 379 , 235 , 144 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Buroz,MI,MIRANDA,Municipio Buroz, 125 , 99 , 26 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Carrizal,MI,MIRANDA,Municipio Carrizal, 220 , 123 , 97 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Chacao,MI,MIRANDA,Municipio Chacao, 928 , 473 , 455 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Cristóbal Rojas,MI,MIRANDA,Municipio Cristóbal Rojas, 628 , 428 , 200 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio El Hatillo,MI,MIRANDA,Municipio El Hatillo, 198 , 104 , 94 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Guaicaipuro,MI,MIRANDA,Municipio Guaicaipuro," 1,657 "," 1,044 ", 613 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Independencia,MI,MIRANDA,Municipio Independencia, 698 , 458 , 240 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Lander,MI,MIRANDA,Municipio Lander, 865 , 615 , 250 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Los Salías,MI,MIRANDA,Municipio Los Salías, 224 , 126 , 98 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Páez,MI,MIRANDA,Municipio Páez, 205 , 132 , 73 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Paz Castillo,MI,MIRANDA,Municipio Paz Castillo, 438 , 298 , 140 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Pedro Gual,MI,MIRANDA,Municipio Pedro Gual, 65 , 48 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Plaza,MI,MIRANDA,Municipio Plaza, 792 , 542 , 250 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Simón Bolívar,MI,MIRANDA,Municipio Simón Bolívar, 159 , 116 , 43 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Sucre,MI,MIRANDA,Municipio Sucre," 4,660 "," 2,884 "," 1,776 ",,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Urdaneta,MI,MIRANDA,Municipio Urdaneta, 615 , 396 , 219 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MI-Municipio Zamora,MI,MIRANDA,Municipio Zamora, 863 , 529 , 334 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Acosta,MO,MONAGAS,Municipio Acosta, 62 , 35 , 27 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Aguasay,MO,MONAGAS,Municipio Aguasay, 36 , 27 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Bolívar,MO,MONAGAS,Municipio Bolívar, 168 , 97 , 71 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Caripe,MO,MONAGAS,Municipio Caripe, 104 , 60 , 44 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Cedeño,MO,MONAGAS,Municipio Cedeño, 98 , 74 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Ezequiel Zamora,MO,MONAGAS,Municipio Ezequiel Zamora, 231 , 158 , 73 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Libertador,MO,MONAGAS,Municipio Libertador, 57 , 44 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Maturín,MO,MONAGAS,Municipio Maturín," 3,796 "," 2,342 "," 1,454 ",,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Piar,MO,MONAGAS,Municipio Piar, 149 , 99 , 50 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Punceres,MO,MONAGAS,Municipio Punceres, 82 , 48 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Santa Bárbara,MO,MONAGAS,Municipio Santa Bárbara, 22 , 15 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Sotillo,MO,MONAGAS,Municipio Sotillo, 65 , 46 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2014,MO-Municipio Uracoa,MO,MONAGAS,Municipio Uracoa, 23 , 14 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Antolin del Campo,NU,NUEVA ESPARTA,Municipio Antolin del Campo, 100 , 59 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Arismendi,NU,NUEVA ESPARTA,Municipio Arismendi, 129 , 82 , 47 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Díaz,NU,NUEVA ESPARTA,Municipio Díaz, 135 , 85 , 50 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio García,NU,NUEVA ESPARTA,Municipio García, 275 , 175 , 100 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Gómez,NU,NUEVA ESPARTA,Municipio Gómez, 108 , 62 , 46 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Maneiro,NU,NUEVA ESPARTA,Municipio Maneiro, 201 , 116 , 85 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Marcano,NU,NUEVA ESPARTA,Municipio Marcano, 223 , 133 , 90 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Mariño,NU,NUEVA ESPARTA,Municipio Mariño," 1,205 ", 748 , 457 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Península de Macanao,NU,NUEVA ESPARTA,Municipio Península de Macanao, 87 , 56 , 31 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Tubores,NU,NUEVA ESPARTA,Municipio Tubores, 117 , 76 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2014,NU-Municipio Villalba,NU,NUEVA ESPARTA,Municipio Villalba, 39 , 25 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Agua Blanca,PO,PORTUGUESA,Municipio Agua Blanca, 86 , 54 , 32 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Araure,PO,PORTUGUESA,Municipio Araure," 1,513 ", 926 , 587 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Esteller,PO,PORTUGUESA,Municipio Esteller, 171 , 110 , 61 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Guanare,PO,PORTUGUESA,Municipio Guanare," 1,139 ", 690 , 449 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Guanarito,PO,PORTUGUESA,Municipio Guanarito, 103 , 78 , 25 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Monseñor José Vicente de Unda,PO,PORTUGUESA,Municipio Monseñor José Vicente de Unda, 76 , 55 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Ospino,PO,PORTUGUESA,Municipio Ospino, 160 , 107 , 53 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Páez,PO,PORTUGUESA,Municipio Páez, 604 , 379 , 225 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Papelón,PO,PORTUGUESA,Municipio Papelón, 18 , 12 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio San Genaro de Boconoito,PO,PORTUGUESA,Municipio San Genaro de Boconoito, 86 , 62 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio San Rafael de Onoto,PO,PORTUGUESA,Municipio San Rafael de Onoto, 43 , 31 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Santa Rosalía,PO,PORTUGUESA,Municipio Santa Rosalía, 59 , 39 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Sucre,PO,PORTUGUESA,Municipio Sucre, 131 , 71 , 60 ,,,,,,,,,,,,,,,,,,,,,,,
2014,PO-Municipio Turen,PO,PORTUGUESA,Municipio Turen, 258 , 159 , 99 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Andrés Eloy Blanco,SU,SUCRE,Municipio Andrés Eloy Blanco, 105 , 56 , 49 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Andrés Mata,SU,SUCRE,Municipio Andrés Mata, 75 , 44 , 31 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Arismendi,SU,SUCRE,Municipio Arismendi, 173 , 107 , 66 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Benítez,SU,SUCRE,Municipio Benítez, 68 , 38 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Bermúdez,SU,SUCRE,Municipio Bermúdez," 1,250 ", 764 , 486 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Bolívar,SU,SUCRE,Municipio Bolívar, 67 , 44 , 23 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Cajigal,SU,SUCRE,Municipio Cajigal, 86 , 48 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Cruz Salmeron Acosta,SU,SUCRE,Municipio Cruz Salmeron Acosta, 99 , 65 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Libertador,SU,SUCRE,Municipio Libertador, 44 , 21 , 23 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Mariño,SU,SUCRE,Municipio Mariño, 117 , 82 , 35 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Mejia,SU,SUCRE,Municipio Mejia, 48 , 26 , 22 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Montes,SU,SUCRE,Municipio Montes, 193 , 115 , 78 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Ribero,SU,SUCRE,Municipio Ribero, 224 , 154 , 70 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Sucre,SU,SUCRE,Municipio Sucre," 2,474 "," 1,485 ", 989 ,,,,,,,,,,,,,,,,,,,,,,,
2014,SU-Municipio Valdez,SU,SUCRE,Municipio Valdez, 207 , 130 , 77 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Andrés Bello,TA,TACHIRA,Municipio Andrés Bello, 104 , 66 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Antonio Rómulo Acosta,TA,TACHIRA,Municipio Antonio Rómulo Acosta, 35 , 23 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Ayacucho,TA,TACHIRA,Municipio Ayacucho, 315 , 191 , 124 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Bolívar,TA,TACHIRA,Municipio Bolívar, 207 , 119 , 88 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Cárdenas,TA,TACHIRA,Municipio Cárdenas, 257 , 144 , 113 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Córdoba,TA,TACHIRA,Municipio Córdoba, 120 , 73 , 47 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Fernández Feo,TA,TACHIRA,Municipio Fernández Feo, 163 , 112 , 51 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Francisco de Miranda,TA,TACHIRA,Municipio Francisco de Miranda, 20 , 13 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio García de Hevia,TA,TACHIRA,Municipio García de Hevia, 220 , 150 , 70 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Guasimos,TA,TACHIRA,Municipio Guasimos, 130 , 82 , 48 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Independencia,TA,TACHIRA,Municipio Independencia, 119 , 77 , 42 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Jáuregui,TA,TACHIRA,Municipio Jáuregui, 235 , 129 , 106 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio José María Vargas,TA,TACHIRA,Municipio José María Vargas, 33 , 26 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Junín,TA,TACHIRA,Municipio Junín, 322 , 191 , 131 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Libertad,TA,TACHIRA,Municipio Libertad, 47 , 26 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Libertador,TA,TACHIRA,Municipio Libertador, 109 , 71 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Lobatera,TA,TACHIRA,Municipio Lobatera, 39 , 29 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Michelena,TA,TACHIRA,Municipio Michelena, 89 , 52 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Panamericano,TA,TACHIRA,Municipio Panamericano, 135 , 85 , 50 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Pedro María Ureña,TA,TACHIRA,Municipio Pedro María Ureña, 113 , 76 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Rafael Urdaneta,TA,TACHIRA,Municipio Rafael Urdaneta, 16 , 10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Samuel Darío Maldonado,TA,TACHIRA,Municipio Samuel Darío Maldonado, 63 , 39 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio San Cristóbal,TA,TACHIRA,Municipio San Cristóbal," 3,821 "," 2,220 "," 1,601 ",,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio San Judas Tadeo,TA,TACHIRA,Municipio San Judas Tadeo, 23 , 13 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Seboruco,TA,TACHIRA,Municipio Seboruco, 32 , 22 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Simón Rodríguez,TA,TACHIRA,Municipio Simón Rodríguez, 11 , 10 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Sucre,TA,TACHIRA,Municipio Sucre, 30 , 16 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Torbes,TA,TACHIRA,Municipio Torbes, 112 , 78 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TA-Municipio Uribante,TA,TACHIRA,Municipio Uribante, 86 , 47 , 39 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Andrés Bello,TR,TRUJILLO,Municipio Andrés Bello, 66 , 49 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Bocono,TR,TRUJILLO,Municipio Bocono, 499 , 290 , 209 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Bolívar,TR,TRUJILLO,Municipio Bolívar, 40 , 28 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Candelaria,TR,TRUJILLO,Municipio Candelaria, 67 , 47 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Carache,TR,TRUJILLO,Municipio Carache, 168 , 96 , 72 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Escuqué,TR,TRUJILLO,Municipio Escuqué, 73 , 45 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio José Felipe Márquez Cañizales,TR,TRUJILLO,Municipio José Felipe Márquez Cañizales, 11 , 6 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Juan Vicente Campo Elías,TR,TRUJILLO,Municipio Juan Vicente Campo Elías, 31 , 15 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio La Ceiba,TR,TRUJILLO,Municipio La Ceiba, 56 , 42 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Miranda,TR,TRUJILLO,Municipio Miranda, 60 , 44 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Monte Carmelo,TR,TRUJILLO,Municipio Monte Carmelo, 51 , 35 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Motatán,TR,TRUJILLO,Municipio Motatán, 49 , 33 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Pampan,TR,TRUJILLO,Municipio Pampan, 157 , 94 , 63 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Pampanito,TR,TRUJILLO,Municipio Pampanito, 59 , 35 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Rafael Rangel,TR,TRUJILLO,Municipio Rafael Rangel, 52 , 32 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio San Rafael de Carvajal,TR,TRUJILLO,Municipio San Rafael de Carvajal, 51 , 32 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Sucre,TR,TRUJILLO,Municipio Sucre, 109 , 71 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Trujillo,TR,TRUJILLO,Municipio Trujillo, 541 , 310 , 231 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Urdaneta,TR,TRUJILLO,Municipio Urdaneta, 122 , 81 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2014,TR-Municipio Varela,TR,TRUJILLO,Municipio Varela," 1,617 ", 985 , 632 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Caraballeda,VA,VARGAS,Parroquia Caraballeda, 159 , 111 , 48 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Carayaca,VA,VARGAS,Parroquia Carayaca, 176 , 125 , 51 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Carlos Soublette,VA,VARGAS,Parroquia Carlos Soublette, 526 , 326 , 200 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Caruao,VA,VARGAS,Parroquia Caruao, 27 , 16 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Catia La Mar,VA,VARGAS,Parroquia Catia La Mar, 310 , 199 , 111 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia El Junko,VA,VARGAS,Parroquia El Junko, 16 , 10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia La Guaira,VA,VARGAS,Parroquia La Guaira, 675 , 378 , 297 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Macuto,VA,VARGAS,Parroquia Macuto, 132 , 69 , 63 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Maiquetía,VA,VARGAS,Parroquia Maiquetía, 157 , 111 , 46 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Naiquatá,VA,VARGAS,Parroquia Naiquatá, 82 , 59 , 23 ,,,,,,,,,,,,,,,,,,,,,,,
2014,VA-Parroquia Raúl Leoni,VA,VARGAS,Parroquia Raúl Leoni, 194 , 115 , 79 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Arístides Bastidas,YA,YARACUY,Municipio Arístides Bastidas, 59 , 34 , 25 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Bolívar,YA,YARACUY,Municipio Bolívar, 94 , 60 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Bruzual,YA,YARACUY,Municipio Bruzual, 213 , 136 , 77 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Cocorote,YA,YARACUY,Municipio Cocorote, 100 , 72 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Independencia,YA,YARACUY,Municipio Independencia, 151 , 84 , 67 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio José Antonio Páez,YA,YARACUY,Municipio José Antonio Páez, 52 , 33 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio La Trinidad,YA,YARACUY,Municipio La Trinidad, 38 , 23 , 15 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Manuel Monge,YA,YARACUY,Municipio Manuel Monge, 35 , 24 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Nirgua,YA,YARACUY,Municipio Nirgua, 249 , 159 , 90 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Peña,YA,YARACUY,Municipio Peña, 298 , 197 , 101 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio San Felipe,YA,YARACUY,Municipio San Felipe," 1,763 ", 1 , 763 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Sucre,YA,YARACUY,Municipio Sucre, 54 , 37 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Urachiche,YA,YARACUY,Municipio Urachiche, 58 , 40 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2014,YA-Municipio Veroes,YA,YARACUY,Municipio Veroes, 97 , 73 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Almirante Padilla,ZU,ZULIA,Municipio Almirante Padilla, 48 , 30 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Baralt,ZU,ZULIA,Municipio Baralt, 270 , 179 , 91 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Cabimas,ZU,ZULIA,Municipio Cabimas," 1,673 ", 933 , 740 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Catatumbo,ZU,ZULIA,Municipio Catatumbo, 109 , 74 , 35 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Colon,ZU,ZULIA,Municipio Colon, 600 , 399 , 201 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Francisco Javier Pulgar,ZU,ZULIA,Municipio Francisco Javier Pulgar, 78 , 61 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Jesús Enrique Losada,ZU,ZULIA,Municipio Jesús Enrique Losada, 418 , 277 , 141 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Jesús Maria Semprun,ZU,ZULIA,Municipio Jesús Maria Semprun, 123 , 84 , 39 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio La Cañada de Urdaneta,ZU,ZULIA,Municipio La Cañada de Urdaneta, 326 , 217 , 109 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Lagunillas,ZU,ZULIA,Municipio Lagunillas," 1,219 ", 705 , 514 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Machiques de Perija,ZU,ZULIA,Municipio Machiques de Perija, 493 , 315 , 178 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Mara,ZU,ZULIA,Municipio Mara, 868 , 546 , 322 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Maracaibo,ZU,ZULIA,Municipio Maracaibo," 12,006 "," 6,736 "," 5,270 ",,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Miranda,ZU,ZULIA,Municipio Miranda, 384 , 262 , 122 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Páez,ZU,ZULIA,Municipio Páez, 133 , 91 , 42 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Rosario de Perija,ZU,ZULIA,Municipio Rosario de Perija, 354 , 213 , 141 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio San Francisco,ZU,ZULIA,Municipio San Francisco," 1,593 ", 938 , 655 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Santa Rita,ZU,ZULIA,Municipio Santa Rita, 206 , 135 , 71 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Simón Bolívar,ZU,ZULIA,Municipio Simón Bolívar, 91 , 62 , 29 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Sucre,ZU,ZULIA,Municipio Sucre, 224 , 159 , 65 ,,,,,,,,,,,,,,,,,,,,,,,
2014,ZU-Municipio Valmore Rodríguez,ZU,ZULIA,Municipio Valmore Rodríguez, 123 , 83 , 40 ,,,,,,,,,,,,,,,,,,,,,,,
2014,DE-Parroquia Gran Roque,DE,DEPENDENCIAS FEDERALES, Parroquia Gran Roque , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
2013,VA-Municipio Autónomo Vargas,VA,VARGAS,Municipio Autónomo Vargas,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Municipio Autónomo Libertador,DI,DISTRITO CAPITAL,Municipio Autónomo Libertador,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Altagracia,DI,DISTRITO CAPITAL, Parroquia Altagracia , 126 , 73 , 53 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Antímano,DI,DISTRITO CAPITAL, Parroquia Antímano , 475 , 301 , 174 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Candelaria,DI,DISTRITO CAPITAL, Parroquia Candelaria , 204 , 106 , 98 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Caricuao,DI,DISTRITO CAPITAL, Parroquia Caricuao , 453 , 269 , 184 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Catedral,DI,DISTRITO CAPITAL, Parroquia Catedral , 73 , 45 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Coche,DI,DISTRITO CAPITAL, Parroquia Coche , 440 , 321 , 119 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia El Junquito,DI,DISTRITO CAPITAL, Parroquia El Junquito , 188 , 131 , 57 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia El Paraíso,DI,DISTRITO CAPITAL, Parroquia El Paraíso ," 2,732 "," 1,716 "," 1,016 ",,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia El Recreo,DI,DISTRITO CAPITAL, Parroquia El Recreo , 704 , 386 , 318 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia El Valle,DI,DISTRITO CAPITAL, Parroquia El Valle , 437 , 277 , 160 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia La Pastora,DI,DISTRITO CAPITAL, Parroquia La Pastora , 375 , 221 , 154 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia La Vega,DI,DISTRITO CAPITAL, Parroquia La Vega ," 1,070 ", 629 , 441 ,,,,,,,,,,,,,,,,,,,,,,,
